"Id";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref";
1;"C1";"SMD_Packages:SM0603_Capa";1;"10n";;;
2;"C2";"Capacitors_Elko_ThroughHole:Elko_vert_DM10_RM5_CopperClear";1;"470u";;;
3;"C3";"Capacitors_SMD:c_elec_5x5.8";1;"* 47u 6,3V";;;
4;"C4,C7,C11,C12,C13,C15";"SMD_Packages:SM0603_Capa";6;"100n";;;
5;"C5,C14";"Capacitors_SMD:c_0805";2;"1u";;;
6;"C9,C10";"Capacitors_SMD:c_0805";2;"22p";;;
7;"D2";"Diodes_SMD:Diode-SMB_Standard";1;"SM6T15A";;;
8;"D10,D11,D12,D13,D14,D15";"Diodes_SMD:Diode-MiniMELF_Standard";6;"ZD5.1";;;
9;"F2";"Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm";1;"FUSE";;;
10;"ferrite1";"SMD_Packages:SM0603_Resistor";1;"0";;;
11;"IC1";"SMD_Packages:TQFP44";1;"ATMEGA644PA-A";;;
12;"J1";"Connect:USB_B";1;"USB";;;
13;"K1,K2";"Connect:PINHEAD1-3";2;"*";;;
14;"P1";"Connect:PINHEAD1-2";1;"CONN_24";;;
15;"P2";"Connect:PINHEAD1-2";1;"CONN_12V";;;
16;"P3";"Connect:PINHEAD1-6";1;"CONN_6";;;
17;"P4,P8";"Connect:SIL-4";2;"CONN_4";;;
18;"P5";"Connect:SIL-8";1;"*";;;
19;"P6";"Connect:SIL-2";1;"*";;;
20;"P7";"Pin_Headers:Pin_Header_Straight_2x03";1;"CONN_6";;;
21;"P9,P10,P11,P12";"Mounting_Holes:MountingHole_3-7mm";4;"CONN_1";;;
22;"Q1,Q2";"Transistors_SMD:sot23";2;"BCW67";;;
23;"Q3,Q4,Q5,Q6,Q7,Q8";"Mainboard MOSFET:sot428";6;"MOSFET_N";;;
24;"R1,R2";"SMD_Packages:SM0603_Resistor";2;"10k";;;
25;"R3,R4,R6,R7,R9,R10,R11,R12";"SMD_Packages:SM0603_Resistor";8;"1k";;;
26;"R5,R19";"SMD_Packages:SM0603_Resistor";2;"10";;;
27;"R8";"SMD_Packages:SM0603_Resistor";1;"bridge*";;;
28;"R13,R14,R15,R16,R17,R18";"SMD_Packages:SM0603_Resistor";6;"100";;;
29;"SW1";"Discret:SW_PUSH_SMALL";1;"PUSH_0";;;
30;"SW2";"Discret:SW_PUSH_SMALL";1;"PUSH_1";;;
31;"U1";"SMD_Packages:SSOP28";1;"FT232RL";;;
32;"X1";"Crystals_Oscillators_SMD:Q_49U3HMS";1;"20M";;;
33;"D1";"LEDs:LED-3MM";1;"LED green";;;
34;"D4";"LEDs:LED-3MM";1;"LED red";;;
35;"D6";"LEDs:LED-3MM";1;"LED orange";;;
36;"D7";"LEDs:LED-3MM";1;"LED yellow";;;
37;"D8";"LEDs:LED-3MM";1;"LED amber";;;
38;"D9";"LEDs:LED-3MM";1;"LED blue";;;
39;"C6,C8";"SMD_Packages:SM0805";2;"C";;;
40;"MSC";"Measurement_Scales:Gauge_10mm_Type5_CopperTop";1;"Gauge_10mm_Type5_CopperTop_RevA_Date22Jun2010";;;
41;"MP,MP";"Measurement_Points:Measurement_Point_Round-SMD-Pad_Small";2;"Measurement_Point_Round-SMD-Pad_Small";;;
